bottom_lip_x,bottom_lip_y,chin_x,chin_y,left_eye_x,left_eye_y,left_eyebrow_x,left_eyebrow_y,nose_bridge_x,nose_bridge_y,nose_tip_x,nose_tip_y,right_eye_x,right_eye_y,right_eyebrow_x,right_eyebrow_y,top_lip_x,top_lip_y,Output
89,157.75,87.94117647,154.7647059,68.16666667,112.6666667,64.2,103.2,91.5,124,91,141,108,112.8333333,111.6,103.4,89.16666667,151.6666667,1
93.08333333,156.9166667,83,156.8823529,69,113.1666667,66.6,102.2,96.5,120.25,96.4,138.4,106.6666667,112.6666667,107.2,101.2,93.66666667,148.6666667,0
88.91666667,155.8333333,85.64705882,148.3529412,68.66666667,112.8333333,65.6,102.8,90,125.5,89.4,142.8,109.3333333,112.6666667,112.2,102.8,89,153.0833333,0
78.75,167.5833333,102.7647059,165.2941176,67.5,109.1666667,65.4,94,70.25,127.5,72.8,149.6,102.5,115,103.4,101,78.33333333,162.8333333,1
89.08333333,157.5833333,85.41176471,154.7058824,67.5,112.6666667,65.4,100.2,91.5,124,91,143,110.3333333,112.1666667,114,100,89.16666667,153.25,0
88.5,159.75,88.17647059,154.3529412,68.33333333,113.3333333,65.4,99,89,123.5,89,141.4,109.3333333,113.5,112.8,99.8,88.83333333,150,0
88.58333333,158.1666667,90.11764706,146.2352941,69.33333333,112,66.2,99.2,87,124.5,87.8,141.8,107,112.6666667,109.6,100,88.58333333,153.6666667,0
87.66666667,162.1666667,89.58823529,155.5882353,68.5,113.5,64.8,102.4,86.5,126.5,86.6,144.4,108.6666667,114.6666667,111.8,103.6,87.5,153,0
87.08333333,155.75,89.52941176,149.5882353,66.33333333,113.1666667,64,99.8,87,125.5,87,141.6,109.8333333,114.5,112.2,101,87.16666667,149.5833333,0
88.33333333,157.5,90.23529412,152.5882353,67.83333333,113.1666667,63,99.6,87.25,123.25,88,140.8,108.3333333,114,111.8,98.8,88.41666667,151.5833333,0
86,152.75,93.47058824,158.8823529,69.33333333,114.6666667,67.2,99.6,83,114.75,84.2,134.4,108,110.3333333,111,95.2,85.58333333,148.25,1
85.83333333,159.5833333,97.70588235,155.9411765,62.16666667,111.1666667,57.6,96.8,75.5,123,79,144.2,103,111.6666667,104.2,98.2,84.58333333,157.8333333,1
89.5,158.8333333,86.11764706,158.1176471,68.66666667,113.1666667,64.4,102.8,92.25,125,92,141.8,109.1666667,112.8333333,113.8,103.2,89.83333333,151.6666667,1
87.58333333,155.1666667,92.47058824,149.3529412,67,113.6666667,63.6,101.2,84.5,125.75,84.8,142.6,110.5,113,111.4,100.4,87.83333333,152.5833333,1
88.33333333,155.25,92.94117647,150.4117647,69.16666667,112,64.6,100.4,85.75,122.25,87,140.6,108.3333333,110.5,109.8,98.4,88.58333333,152.9166667,1
89.75,156.1666667,87.64705882,148.2941176,69.5,111.5,66.2,101.4,90.5,123,90.6,140.4,107.5,111.3333333,110.4,100.4,89.91666667,152.3333333,1
87.75,160.1666667,88.41176471,155.5882353,67.5,113.1666667,65.4,98.6,86.25,124.75,86.2,143.4,109.5,113.5,111,98.8,87.66666667,151.1666667,1
86.66666667,153.8333333,89.82352941,151.0588235,69.33333333,112.6666667,65.4,102.8,86.5,121.5,86.8,138.6,107,112.6666667,109.8,102.8,86.75,151.4166667,1
91.16666667,155.6666667,84.05882353,150.7647059,70.16666667,112.8333333,69,99.6,94.75,121.5,93.6,139,108.1666667,112.8333333,111.6,98.8,91.25,151.5833333,0
90.41666667,157.6666667,80.58823529,147.9411765,70.16666667,113,67,101,93.5,122.5,92.6,139.6,106,112,108,98.8,90.41666667,151.8333333,0
88.66666667,154,86.58823529,153.7647059,67.16666667,112.8333333,64.4,99.6,89.25,120,88.8,137.8,108.5,112.6666667,110.2,99.6,88.58333333,149.4166667,0
84.91666667,161.5,106.8823529,150.8235294,73.33333333,110.6666667,67.6,95.2,78.25,121.75,80.8,140.8,107.1666667,109.1666667,107.2,91.8,83.91666667,154.3333333,0
81.83333333,158.25,98.64705882,160.1176471,70.5,112.5,67,96.8,77.25,119.75,78.2,138.4,106.6666667,111.1666667,108.2,96,80.83333333,151.3333333,1
91.25,161.75,78.23529412,153.5882353,72.5,112,70.6,102.2,95,118.75,93.8,136.6,101.6666667,109,104,99,92,152.3333333,1
87.58333333,156.6666667,89.58823529,151.1764706,68.5,112.6666667,65.6,98.4,87,123.25,87.2,141.6,107.5,111.3333333,109.4,96.4,87.58333333,153.0833333,0
87.08333333,159.6666667,92.11764706,155.8235294,67.16666667,112,63,100.2,83,126.5,83.8,144.4,108.1666667,113.6666667,112.4,102.6,87.16666667,152.1666667,0
87.41666667,154,88.76470588,153.7058824,69.16666667,113.3333333,65.8,101.2,87.5,120.5,87.8,139.4,108,113.3333333,111,102,87.75,151,1
88.16666667,157,89,149.5882353,69.16666667,112.6666667,66,101.4,87.5,123.5,87.8,140.4,108.3333333,112.6666667,111.8,101.2,88.16666667,151.1666667,1
88.58333333,159.25,89.47058824,152.2352941,66.83333333,112.3333333,64.2,100,86.5,124,86.8,141,109.3333333,113.6666667,112,100,88.41666667,150,0
,,,,,,,,,,,,,,,,,,1
89.08333333,157,85.58823529,153.9411765,71.5,111.5,70.2,103.6,92,123.25,91,139.8,106.6666667,112.3333333,109.2,105,89.08333333,151,1
88.25,153,88.64705882,161.2941176,69.33333333,112.5,65.4,104.2,88.25,117,88.4,133.8,107.5,112.3333333,110.8,105,88.25,149.3333333,1
86.25,159,97.70588235,148.4117647,68.33333333,108.3333333,65.4,101.2,80.25,128,81.4,145,107.1666667,113.3333333,107.6,106.2,86.25,152.5,1
87.83333333,156.4166667,91.58823529,147.4117647,67.83333333,112.3333333,65,103.4,86,125,87,141.6,108.5,113.1666667,109.8,103.2,87.83333333,152,0
87.75,158.4166667,87.11764706,154.4117647,67,112.3333333,65.4,100.8,89,123.75,87.8,140.2,109.5,113.3333333,112.4,102.2,87.33333333,150.75,1
85.33333333,157.0833333,99.76470588,152.7058824,71.5,112.3333333,67.6,100.8,79.75,122.5,81,139.6,106.5,112.3333333,108.8,101,84.91666667,151.4166667,0
88.75,156.4166667,86.76470588,157.9411765,69.16666667,113.5,66.4,97.6,88,115.5,87.6,131.2,107.8333333,115.5,112,99.4,88.66666667,145.75,0
86.41666667,155.25,97.88235294,151.7058824,72.16666667,112,68.4,95.8,82.75,118,83.4,136.2,108.5,111.6666667,111.8,94.2,85.91666667,149.9166667,0
85.58333333,150.75,91.58823529,160.1764706,68.33333333,113.6666667,66,101.2,84,115.75,84.6,134.8,110,113.1666667,113.2,101,85.91666667,147.3333333,1
86.16666667,156.5,92.17647059,152.3529412,66.66666667,111.5,65.2,100.8,83.5,124.25,84.4,142.8,109,113.5,108.6,101.2,86.33333333,152.75,0
89.41666667,151.8333333,85.82352941,156,66.16666667,114.1666667,63.8,98.2,91,116.5,90.2,134,110.8333333,114.3333333,113.8,98.6,89.33333333,145.5833333,0
86,157.9166667,94.05882353,153.4705882,69.16666667,112,66.8,101.8,80.75,124.5,82.8,143,105.8333333,111.8333333,107,101.8,85.75,153.9166667,1
90,157.5,85.76470588,150.1176471,70,112.6666667,68.4,105.8,91.75,125.25,90.8,141.4,107.5,114.1666667,110.4,107.2,90,154,1
91.16666667,159.9166667,85.58823529,157.3529412,70,113.3333333,66,102.4,95,123.5,93.8,141.6,108.1666667,113.3333333,111.6,101.8,91.25,151.5,1
87.83333333,155,90.23529412,154,69.16666667,112.8333333,65.6,103.8,88,122.25,88.4,140,108,112.8333333,110.4,102.6,87.91666667,152.4166667,1
87.58333333,158.25,89.58823529,155.0588235,69,112.3333333,67.8,101.6,87.5,124,87.4,142,109,112.1666667,111.6,100.8,88,152.5833333,0
90.58333333,155.4166667,83.35294118,152.4117647,68.16666667,113,64.2,98.2,92,118.5,91.6,134.8,107.6666667,113.3333333,111.4,98.2,90.66666667,150.5833333,0
88.25,157.3333333,91.76470588,150.1764706,68.83333333,112.5,65.4,102,86,126,86.6,143.6,108,114.1666667,110.4,102.6,88.5,154.0833333,0
91.75,154.6666667,75,150.5882353,70.5,110.1666667,69.6,95.8,96.5,120.75,93.2,138.8,106.1666667,115.1666667,111.6,101.4,92.5,150.25,0
90.25,160.4166667,87.11764706,156.7647059,69,113.5,64.4,102.4,91.75,126.25,91.6,144.4,108.6666667,113.5,113.6,102.4,90.25,152.5833333,0
86.33333333,156.1666667,96.41176471,150.1176471,71.66666667,113.1666667,68.4,101.8,83,123.5,84,140.4,106,111.3333333,106.2,99.4,85.75,151.8333333,0
87,156.25,92.70588235,147.4705882,66.83333333,111.3333333,62.2,104,83,126.75,84.6,143.8,106.5,111.8333333,107.2,103,87,153.5833333,0
89.33333333,157.5,82.94117647,150.9411765,71.33333333,110.3333333,71.8,102.4,92,122.5,90.8,141,105.8333333,112.3333333,108.4,104,89.25,154.1666667,1
88,155.25,91,146.1176471,70.5,111.6666667,66.8,106.2,89,126.5,88.8,142.6,107.5,112.1666667,111,106,88.33333333,152.25,1
89.16666667,157.0833333,84.70588235,152.3529412,69,114,66.2,102.6,93,123.75,91.8,140.2,109.3333333,113.5,113.6,102.8,89.5,151.8333333,0
86.08333333,151,92.70588235,150.5294118,74.33333333,111.6666667,72.6,100.6,85.5,117,85.8,133.4,106,113.5,108.6,101,86.08333333,145.9166667,0
90.75,156.4166667,87.64705882,156.2352941,68,112.3333333,64.8,98,91,121,90.8,139.4,109.3333333,113.3333333,114.2,98,90.66666667,151.6666667,0
89.33333333,153.8333333,85.47058824,146.1176471,70.5,111.1666667,66.2,100.4,91.5,121,90.6,137.8,106.3333333,109.8333333,110.6,98.6,89.41666667,150.25,0
89.58333333,153.4166667,84.29411765,150.3529412,68.5,112.5,67.2,98.8,91,119,90.2,135.8,107.8333333,113.6666667,110.4,101.6,89.41666667,148.9166667,0
85.83333333,156.75,88.11764706,149.8235294,69.33333333,112.3333333,67.2,102.2,88,121.75,87.4,138.6,107,113.3333333,109.2,103.2,86.25,151.4166667,0
87,158.75,100.7647059,147.8823529,72,111.5,66.4,101.8,82.25,126,83.6,142,106.1666667,113.1666667,109.2,102.2,86.58333333,152.75,0
89.25,160.5,88.35294118,156.6470588,68.33333333,113.6666667,64.4,99.8,90,124.5,89.8,143,109.5,113.3333333,113,99.2,89.25,152.4166667,0
91.16666667,156.4166667,80.52941176,154.2352941,69.16666667,112.5,68,100.2,95.25,122.25,93.4,140.6,108,112.5,111.6,100.2,91.25,150.75,0
89,155.3333333,87.52941176,152.8235294,69.33333333,113,67.6,100.8,90,124,90,141.6,107.8333333,112.8333333,109.6,100.8,89.33333333,151.4166667,0
83.66666667,153,94.47058824,157.5294118,71,113,70,99.6,82.75,113,83.2,132.6,107.5,111,109.4,97.4,83.75,147.5833333,1
89.33333333,155.5833333,82.82352941,149.7058824,70.83333333,111.1666667,71,98.2,91.5,120.5,90.2,137.8,107.1666667,111.3333333,111.4,98.6,89.41666667,150.4166667,0
88.41666667,158.8333333,87.47058824,154,69.16666667,113,65.8,102.2,88,125.75,88,143.6,109.1666667,113.3333333,113,102.2,88.83333333,151.75,1
89.58333333,154.25,86.82352941,148.4117647,69.66666667,113.5,69.8,102.2,90.75,125,90,140.6,108.6666667,113.1666667,113.4,103.2,89.41666667,151.4166667,1
90.83333333,161.3333333,85.23529412,152.5882353,70,114,68.6,103.2,96.75,127.75,95.2,145.8,110.3333333,113.5,114.4,103.2,91.33333333,152.8333333,0
88.83333333,159.25,87.88235294,154,67.66666667,113.5,66.2,103.4,90.5,124,90,141,109.3333333,114.5,111.6,105.2,89.16666667,150.8333333,0
89.91666667,158.75,87.82352941,153.9411765,69.16666667,112.8333333,65.6,100.2,90.5,123.75,90,140.6,108.5,112.5,111.6,99,89.66666667,150.1666667,0
88.16666667,159.0833333,90.82352941,151.1176471,70.5,112,67,103.4,88.25,125,88.4,141.6,106.6666667,112.6666667,109.6,104.2,88.33333333,153.25,1
88.16666667,156.3333333,88.64705882,150.1176471,66.33333333,114.1666667,61,104,88,128,88,144.2,111,113.3333333,116,102.4,87.91666667,150.5833333,0
86.33333333,160.4166667,94.11764706,152.8823529,68,111.6666667,64.8,97.8,80.5,127,81.6,144.4,107.3333333,113.6666667,108.2,100.4,85.91666667,151.9166667,0
88.16666667,159.6666667,89.35294118,155.3529412,67,112.8333333,62.6,99.4,87,123,87,141,109.6666667,113.8333333,114.8,98.6,88.16666667,151,0
88.16666667,156.5,88.41176471,154.3529412,69.5,112.8333333,67,103.8,87.5,123.75,88,141.4,107.5,112.8333333,109.2,105,88.16666667,151.8333333,1
89.75,157.75,87.76470588,152.1176471,69.16666667,111.8333333,65.8,97.4,88.75,123.5,89,141.4,108.5,113.1666667,110.8,101.4,89.75,151.0833333,1
87.75,156.9166667,90.35294118,150.5882353,72.33333333,112,68.4,103.8,87.25,123,87.4,140.6,105.5,111.8333333,107,103.4,87.58333333,153.5,1
88.25,157.6666667,89.29411765,154.8235294,68,113,65,101.8,89,122,89,141.2,109,112.5,112.6,100.4,88.41666667,151.25,1
86.75,158.25,94.17647059,149.1176471,68.16666667,111.6666667,64.8,94.2,83.25,120,84.4,137.4,106.8333333,111.6666667,109.2,94.8,86.25,150.8333333,0
90.75,157.4166667,81.35294118,149.2941176,68.33333333,114,66.8,99.8,95.5,128.5,94,146.4,110.1666667,111.8333333,113.8,98.8,90.41666667,153.5,0
88.16666667,158,85.05882353,150.5294118,68.16666667,111.8333333,66,101.4,90,124,89.4,141.4,106.1666667,111.3333333,109.4,101.4,88.41666667,153.5,1
,,,,,,,,,,,,,,,,,,1
88.75,157.4166667,87.70588235,152.3529412,68.16666667,113.6666667,65.4,104.2,88.5,125.5,88.4,143.6,109.6666667,113.6666667,113,104.6,88.91666667,152.9166667,0
88.41666667,160,88.82352941,154.9411765,67.66666667,113.6666667,63.8,97.6,87.5,123,87.4,141.8,109.1666667,113.8333333,114.4,97,88.41666667,152.9166667,0
86.16666667,154.6666667,90.82352941,147.2352941,69.83333333,111.1666667,66.4,103.2,84.25,122,85.2,139.4,105.6666667,110.6666667,106.6,101.6,86.16666667,151.5833333,1
90.16666667,156.5833333,79.70588235,147.8823529,68.5,110.6666667,67,99.2,93.5,123.75,93,141.2,105.5,111,108.2,101.6,90.66666667,152.8333333,0
89.16666667,154.6666667,91,156.1764706,68,112,65,104.6,87,122.25,87.4,140.2,108.8333333,111.6666667,110.4,103,89,152.5,1
85.66666667,159,93.52941176,150.7647059,66.33333333,111.6666667,63.2,99.4,82,125.5,82.8,143.8,108.6666667,112.8333333,107.4,98.6,86.08333333,152.0833333,0
87,156.5833333,91.76470588,154.5882353,69.5,112.3333333,65.8,101.8,85,123.75,85.4,140.8,107.6666667,113.3333333,111,103.2,87.08333333,152.75,1
89.33333333,158.9166667,82.94117647,148.7058824,68.83333333,113.8333333,65.4,100,91.75,128,91.6,145.6,107.3333333,111.1666667,111.6,98.8,89.25,154.75,0
87.16666667,159.5833333,90.70588235,156.4117647,69.83333333,111.8333333,66.4,104.8,86.5,126.5,86.4,144.4,107.1666667,112.5,111.2,105.2,87.33333333,154.25,1
89.58333333,157.9166667,86.17647059,149.1764706,70.66666667,112.1666667,68.2,102.8,89.75,126,89.2,144.4,107.3333333,111.6666667,110.2,101.6,89.41666667,155.5,1
85.75,159.0833333,93.47058824,155.7647059,67.33333333,111.8333333,63.6,98.8,79.25,125,81,143.4,105.8333333,112,106.2,97.4,85.33333333,152.75,0
87.75,159.3333333,92,152.8823529,67.16666667,112.5,63.4,99.4,84.5,125.5,85.2,143.6,109.1666667,114,112,100.4,87.83333333,151.75,0
89.16666667,160.25,87.70588235,151,69.83333333,113.6666667,66.6,102.2,90,126.75,90,144.8,109.3333333,113.1666667,112.8,101,89.08333333,154.1666667,0
84.83333333,162.5833333,101.8823529,152.5882353,71.66666667,109,69.4,92.6,79.25,123.5,79.4,143.8,106.3333333,114.5,108.6,99.2,84.58333333,154.6666667,1
88.75,157,84.76470588,151.2941176,68.5,113.5,65.2,102.4,91.5,126,91.4,143.8,107.6666667,111.5,110.4,99.2,89.08333333,153.6666667,1
85.58333333,155.5,92.76470588,155.7647059,70.66666667,112.3333333,66.8,101.8,84.25,123,84.2,140.6,107.3333333,111.8333333,112.2,101.4,85.91666667,153.3333333,1
,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,1
85.91666667,158.8333333,93.82352941,156.2352941,68.66666667,112.1666667,64.8,101.6,81,124.5,82.4,141.8,106.3333333,112,108,101.6,85.41666667,152.25,0
90.16666667,155.5833333,85.05882353,147.5294118,71.16666667,112.6666667,69,101.6,92.25,122.25,91.2,139.8,108,112.5,112.2,101.6,90,151.75,0
88.16666667,157.0833333,89.23529412,151.5294118,69.16666667,112,66.2,99.8,88,120.75,88.4,137.8,107.3333333,111.5,111.2,97.8,88.41666667,150,0
88.75,156.5,87.05882353,146.7058824,70.5,112,67.6,101.4,89.75,124,89,140.4,107.1666667,111.8333333,109.8,100.4,88.66666667,151.5,0
87.83333333,155.8333333,89.41176471,156.8823529,68.66666667,113.3333333,65.6,102.6,86,122,86.6,139.6,109,113.1666667,111.4,103,87.5,151.5,1
80.41666667,157.25,97,154.5882353,66.66666667,105.3333333,65.6,93,78.75,119,78.2,139.2,109.5,112,109.6,99.8,80.58333333,151.8333333,1
90.33333333,161.4166667,86.17647059,157.4117647,69.5,113.8333333,66.2,103.6,94,125.75,93.4,142.6,109.1666667,112.1666667,112.2,102.6,90.5,150.6666667,0
96.58333333,166.4166667,68.64705882,159.2941176,70,108.6666667,71,88.8,110.75,126.5,106.2,149,116.6666667,114.8333333,122.6,96.2,98.33333333,162.5,0
89.5,155.5,87.05882353,149.5294118,68.5,113,65.8,101.6,88.75,123.75,89.4,139.6,108.3333333,113.3333333,111,102.2,89.58333333,150.0833333,0
91,159.75,73.52941176,153.1764706,71.83333333,111.8333333,70,98.4,95.25,121.5,94.4,139.4,103.1666667,110.1666667,106,97.6,91.33333333,153.8333333,0
,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,1
89.08333333,163.25,88.23529412,155.7647059,68,113.3333333,67,100.8,91.25,128,90.8,146.2,110.5,112.3333333,113,99.6,89.33333333,153.1666667,0
89.08333333,158.25,87.64705882,156.7058824,71.33333333,109.6666667,69.8,100.8,89.5,121.5,89,139.6,108.5,112.1666667,111.2,103.4,89.33333333,151.0833333,1
89.16666667,159.5,88.05882353,156.8235294,68.83333333,112.6666667,66,101.6,89.5,125,89,143.4,108.5,113.5,111.6,102.6,89.41666667,152.25,1
,,,,,,,,,,,,,,,,,,1
88.08333333,159.25,90.64705882,152,67.16666667,113.3333333,63.8,101.2,86.5,128.75,87,146.4,109.1666667,114.1666667,112.4,101.8,88.41666667,152.25,0
85.33333333,157.6666667,91.05882353,154,68.16666667,111.5,65,99.2,82.25,123,82.8,141.2,107.8333333,113.1666667,111.2,101.6,85.58333333,150.8333333,0
89,154.3333333,88.58823529,146.7058824,69.33333333,112.5,67,102,89,123.5,88.8,139.8,108.6666667,112.5,110.2,101.8,89,150.9166667,0
86,153.1666667,94.11764706,158.2352941,69.66666667,112.3333333,67,97.8,81.75,119.5,82.2,139,107.5,112.8333333,110.2,97.8,85.66666667,151.1666667,1
,,,,,,,,,,,,,,,,,,0
88.5,156.4166667,92,146.8235294,70.66666667,113.3333333,68,105,87,126.5,88,142.4,107,112.6666667,108,105,88.66666667,152.75,1
87.33333333,157.3333333,91.35294118,156.3529412,68.83333333,113,64.8,98.6,85.5,121.5,85.6,139.4,108,113.3333333,113.8,99,87.16666667,149.6666667,0
86.16666667,158.1666667,96.41176471,157.0588235,69.5,113.5,67.6,98.2,81.5,115.25,82.6,133.8,108.6666667,111,110.8,95,85.58333333,147.1666667,0
85.16666667,155.75,88.35294118,151.4705882,68.83333333,114,66.8,99.6,83,120.75,83.6,137.8,107.5,111.8333333,108.6,96.8,85.16666667,150.0833333,0
87.41666667,156.6666667,92.35294118,151.8235294,70.66666667,112,67.6,102.4,85,119.75,86,137.8,105.6666667,111.8333333,107.4,101.6,87.58333333,152.5,1
89.08333333,156.6666667,82.88235294,148.4705882,71,112.1666667,68.4,102.4,91.5,122.5,90.6,139.8,105.8333333,113,109.6,103.2,89.41666667,151.3333333,0
,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,0
90.33333333,159.75,81.23529412,153.1764706,68,116,65,104.2,97.75,126.5,96.6,143.4,110.3333333,111.8333333,113.8,99.4,91.16666667,150.3333333,0
91.08333333,155.0833333,84.35294118,158.3529412,68.83333333,111.5,66.6,98,91,114.75,90.8,132.8,106.6666667,113.6666667,108.6,100.6,91.33333333,145.9166667,0
87.75,156.4166667,88.47058824,150.9411765,66.33333333,112.8333333,62.6,101.6,87.25,123.5,88,141.2,107.3333333,112.1666667,108.6,101,87.75,151.5,0
90.08333333,156.8333333,83.94117647,152.2352941,71.83333333,112.1666667,69.4,101.8,94.25,124,92.8,141.6,107.1666667,112.3333333,111.4,103.6,90.08333333,153.8333333,1
87,157.1666667,91.52941176,154.2352941,67.33333333,113.6666667,62.2,102.2,83.5,123.5,84.2,141,106.6666667,112.1666667,108.8,99.4,86.75,151.6666667,0
87.58333333,157.25,88.82352941,148.9411765,65.33333333,112.6666667,63.6,99.4,86.75,125.5,87,142.8,109.8333333,113,111.8,99,87.83333333,149.6666667,0
87.25,159.5833333,90.05882353,157.0588235,67.33333333,111.8333333,63.2,102.8,85.75,125.25,86.2,142.4,108.1666667,113.5,112.4,104.2,87.83333333,151.25,0
87.16666667,158.75,94.47058824,150.6470588,67.16666667,111.8333333,62.4,99.2,83,128.25,84.2,146.8,108.1666667,114.1666667,111,100.6,87.5,155.75,0
88.83333333,158.25,86.64705882,154.2941176,68,113.3333333,63,101.2,89,120.75,89.4,139.6,108.1666667,112.8333333,111,100,89.08333333,150.5,0
